标题,开发商,房子信息,发布信息,售价/万,单价
中华园大三房 户型方正 采光通风好 满五唯一税费低,中华园教师村 -鹤山市,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 12天以前发布,19.5,"1,830元/平"
满五年过户费便宜，装修保养新正。,华桥新村 -鹤山市,4室2厅 | 106.02平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,14人关注 / 8个月以前发布,25,"2,359元/平"
白沙大道西小区 3室1厅 南,白沙大道西小区 -白沙农林,3室1厅 | 82.62平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,46.8,"5,665元/平"
业主急售旭日邨大三房户型，非顶楼，还价即售,旭日邨 -鹤山市,3室2厅 | 109.62平米 | 东 南 | 精装 | 高楼层(共8层)  | 板楼,20人关注 / 11个月以前发布,35,"3,193元/平"
汇悦城旁怡福苑中层新装修，拎包入住,怡福苑小区 -育德,3室2厅 | 78.85平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,52.8,"6,697元/平"
此房满五唯一，税费少 首层，带有小花园，使用面积大,珑山居 -外海,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共13层)  | 板塔结合,1人关注 / 3个月以前发布,90,"8,182元/平"
水南市 3室1厅 南,水南市 -江华港口,3室1厅 | 76平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,49.8,"6,553元/平"
北新区【怡福中Xue】4房2厅附带家电家具 拎包入住,中天国际花园 -北新区,4室2厅 | 169平米 | 南 北 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 一年前发布,163,"9,645元/平"
五福四街健步中层全新装修3房2厅拎包入住,五福四街小区 -双龙,3室2厅 | 94平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,55.8,"5,937元/平"
低楼层、旁边东湖公园、有40方大平台、楼下停车方便,丹井里 -江华港口,3室2厅 | 80平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,49.3,"6,163元/平"
凤山水岸二期 2017年电梯小区,凤山水岸2期誉城 -双龙,3室2厅 | 88平米 | 北 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 4个月以前发布,85,"9,660元/平"
豪  装，拎包入住，家电齐全，可以小刀。,迎宾大道西 -双龙,3室1厅 | 82.78平米 | 南 东南 | 精装 | 中楼层(共8层)  | 平房,0人关注 / 4个月以前发布,47.7,"5,763元/平"
富力电梯高层大三房，视野开阔无遮挡，大品牌高档小区,富力·尚悦居 -鹤山市,3室2厅 | 93.83平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,2人关注 / 7个月以前发布,43.9,"4,679元/平"
十里方圆―九章户型格局方正实用 业主诚心出售.,十里方圆―九章 -鹤山市,3室2厅 | 86平米 | 南 东 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,63.8,"7,419元/平"
北新区 紫茶 莱茵华庭-4房2厅南北对流户型 首付2成,莱茵华庭 -北新区,4室2厅 | 119.83平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 塔楼,1人关注 / 5个月以前发布,135,"11,266元/平"
春树里带装修，三房两厅，采光足，价钱好,时代春树里 -鹤山市,3室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,10人关注 / 7个月以前发布,50,"5,155元/平"
滨江新城 奥园外滩风情街 三房 业主诚售,奥园外滩 -滨江新区,3室2厅 | 98平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,3人关注 / 一年前发布,110,"11,225元/平"
中天嘉华苑视野宽阔楼下大花园房子拎包入住即可,中天国际花园 -北新区,3室2厅 | 122.79平米 | 北 | 精装 | 中楼层(共11层)  | 塔楼,25人关注 / 一年前发布,106,"8,633元/平"
市区地段 两千年楼龄砖仔外墙 低楼层二楼 首付八万,良化里 -良化北街,3室2厅 | 78平米 | 东南 南 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,53.8,"6,898元/平"
天朗花园 中层全新精装3房2厅2卫 拧包入住即可,天朗花园 -杜阮,3室2厅 | 93平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 6个月以前发布,56.8,"6,108元/平"
恒晖花园 3室2厅 南,恒晖花园 -鹤山市,3室2厅 | 111平米 | 南 | 其他 | 中楼层(共8层)  | 板塔结合,2人关注 / 3个月以前发布,35,"3,154元/平"
江华电梯房，全新精装修3房2厅，没住过，家私齐随时看,江华二路 -江华港口,3室2厅 | 98.26平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,72.8,"7,409元/平"
碧桂园叠彩轩   户型格局方正 带30方左右露台,碧桂园-叠彩轩 -鹤山市,2室2厅 | 78.62平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 2个月以前发布,40,"5,088元/平"
业主诚心出售，欢迎各位前来咨询,祥庆苑 -双龙,3室2厅 | 73平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,49.8,"6,822元/平"
常朗苑户型合理，格局好，利用空间大,常朗苑 -鹤山市,3室2厅 | 67平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,19.8,"2,956元/平"
江侨路绿茵高尔夫精装3房业主少住保养好可拎包入住！,帕佳图绿茵高尔夫 -滨江新区,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,122,"12,200元/平"
新之城旁建设路中层，新装修，拎包入住,建设路 -白沙农林,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,55.8,"5,753元/平"
圭峰花园，南北一字楼，天然养吧，精装，伶包入住,圭峰花园森林官邸 -圭峰,3室2厅 | 152.55平米 | 东南 | 精装 | 中楼层(共8层)  | 板塔结合,8人关注 / 一年前发布,87,"5,704元/平"
双龙广场旁天龙街新装修，中层，拎包入住,天龙一街 -双龙,4室2厅 | 111平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,1人关注 / 1个月以前发布,67.8,"6,109元/平"
九章大四房，精装带家私电器车位出售,十里方圆―九章 -鹤山市,4室2厅 | 133平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,99,"7,444元/平"
育德怡雅苑中层精装3房2厅2卫带小车库房拎包入住怡福,怡雅苑 -育德,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,68,"5,715元/平"
建德街 3室2厅 南,建德街 -育德,3室2厅 | 106平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,2人关注 / 5个月以前发布,60,"5,661元/平"
证够五年，唯一，税费少 电梯中低层，家电齐,华茵绿洲 -外海,2室2厅 | 79.84平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,1人关注 / 29天以前发布,66.9,"8,380元/平"
城中两房简装户型，格局方正，社区成熟,中心路 -鹤山市,2室2厅 | 77.85平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 17天以前发布,21,"2,698元/平"
保利高层位置，大户型5房，视野开阔，满5年，随时看房,保利中央公园 -鹤山市,5室2厅 | 163.66平米 | 北 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,135,"8,249元/平"
保利中悦 精装三房两卫，范罗岗,保利·中悦花园 -滨江新区,3室1厅 | 90平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,96,"10,667元/平"
景灏居 3室2厅 南,景灏居 -杜阮,3室2厅 | 80平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,45,"5,625元/平"
翠鸣苑 3室2厅 南,翠鸣苑 -河南,3室2厅 | 114.3平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,80,"7,000元/平"
凤山水岸 3室2厅 南 北,凤山水岸 -双龙,3室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,120,"9,375元/平"
滨江新区保利三期，精装修，业主急售,保利·中悦花园 -滨江新区,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 24天以前发布,105,"11,798元/平"
江海碧桂园精装修3房，低首付，没压力,江海碧桂园 -外海,3室2厅 | 90.5平米 | 东 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 25天以前发布,81,"8,951元/平"
适合小三口一家人住，通风和光线都比较好,金朗花园 -杜阮,2室1厅 | 63.8平米 | 西 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 27天以前发布,35,"5,486元/平"
成熟小区配套完整，高楼层采光好,兴南小区 -河南,3室2厅 | 85平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,3人关注 / 4个月以前发布,43,"5,059元/平"
配套实施齐全 交通便利 向北通透 采光好,富力•南湖壹品 -枢纽新城,3室2厅 | 118平米 | 东南 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 4个月以前发布,113,"9,577元/平"
业主诚心出售！入住率高！全新未入住，保养新净！,时代倾城（鹤山） -鹤山市,3室2厅 | 82平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,23人关注 / 一年前发布,57,"6,952元/平"
文昌花园 3室2厅 南,文昌花园 -礼乐,3室2厅 | 86.9平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,49.8,"5,731元/平"
良化新村西 3室1厅 东南,良化新村西 -良化北街,3室1厅 | 96平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,59.8,"6,230元/平"
海伦湾南北对流3房望江无遮挡 业主诚心出售,海伦湾 -外海,3室2厅 | 114平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,1人关注 / 1个月以前发布,101,"8,860元/平"
房子全新装修，税费低，户型靓，风景好，全新装修,十里方圆云玺 -鹤山市,4室2厅 | 123平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,13人关注 / 5个月以前发布,88,"7,155元/平"
房源位置好，阳台景观好，通风，户型实用，采光足,绍尧里 -江华港口,3室2厅 | 82.5平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,53.8,"6,522元/平"
房源位置好，阳台景观好，通风，户型实用，采光足,绍尧里 -江华港口,3室2厅 | 82.5平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,53.8,"6,522元/平"
房子全新装修，税费低，户型靓，风景好，全新装修,十里方圆云玺 -鹤山市,3室2厅 | 109平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,74,"6,789元/平"
凤山水岸大面积大三房。地段成熟，生活方便。,凤山水岸 -双龙,3室2厅 | 147平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,112,"7,620元/平"
三房两厅步梯低楼层房，采光充足，南北对流,东升小园 -鹤山市,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,59,"5,222元/平"
新华城  中间楼层   采光好   格局靓,鹤山新华城 -鹤山市,2室2厅 | 87.36平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 5个月以前发布,67.8,"7,761元/平"
方直·珑湖湾 3室2厅 南,方直·珑湖湾 -滨江新区,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,109,"11,238元/平"
保利中宇花园.业主诚意出售.价格不变,保利·中宇花园 -滨江新区,4室2厅 | 125.75平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,121,"9,623元/平"
白石大道港口二路 中装低层3房 有小平台,白石大道港口二路 -良化北街,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,66.8,"7,341元/平"
视野广阔，业主诚心出售，，，，,天悦星院 -滨江新区,4室2厅 | 139平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,142,"10,216元/平"
美景旁益源电梯2房 装修保养新净  单价平 首付低,益源大厦 -江华港口,2室2厅 | 109.85平米 | 南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 3个月以前发布,69.8,"6,355元/平"
白石群众豪庭 3室2厅 南,白石群众豪庭 -良化北街,3室2厅 | 131.8平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 3个月以前发布,100,"7,588元/平"
山湖雅苑 杜阮区域 交通便利  房子精致装修,山湖雅苑 -杜阮,4室2厅 | 149.68平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,120,"8,018元/平"
万达旁都市豪庭南北对流户型精装修诚意出售,都市豪庭 -北新区,3室2厅 | 91平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,85.8,"9,429元/平"
方直珑湖湾  滨江新区  望天沙河,方直·珑湖湾 -滨江新区,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 5个月以前发布,98,"10,104元/平"
永盛二街 3室2厅 南,永盛二街 -白沙农林,3室2厅 | 79.35平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,36,"4,537元/平"
宏盛花园三房两厅户型方正采光好，价格实惠,宏盛花园三区 -鹤山市,3室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,51,"6,000元/平"
方直珑湖湾  三房毛坯 高层户型方正,方直·珑湖湾 -滨江新区,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,4人关注 / 一年前发布,99,"10,207元/平"
鹤山沙坪城市一一号公馆电梯小三房户型方正实用,城市一号 -鹤山市,3室1厅 | 87.57平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,61,"6,966元/平"
毛坯中层靓位置，价钱美丽，多多上客哦,珠江御景山庄 -滨江新区,3室2厅 | 97平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 平房,0人关注 / 5个月以前发布,89.5,"9,227元/平"
北郊精装修3房  天河西路低层全新装修,天河西路 -双龙,3室2厅 | 70.23平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,43.8,"6,237元/平"
业主诚意出售 全新未入住 生活便利 配套成熟,江海怡景湾 -府西,3室1厅 | 88平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,80,"9,091元/平"
嘉悦名都住宅业主诚意出售价格特优,帕佳图嘉悦名都 -北新区,4室2厅 | 159.01平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,2人关注 / 4个月以前发布,138,"8,679元/平"
范罗冈 3室2厅 南,范罗冈 -白沙农林,3室2厅 | 102.7平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 1个月以前发布,23.8,"2,318元/平"
新华城中间楼层小三房，格局好，景观漂亮,鹤山新华城 -鹤山市,3室2厅 | 91平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,70,"7,693元/平"
鹤山碧桂园柏丽湾 电梯洋房 精装温馨三房业主诚心出售,碧桂园公园1号柏丽湾 -鹤山市,3室2厅 | 123平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,10人关注 / 一年前发布,70,"5,692元/平"
奥园峻廷湾 此房精装靓楼层 南向视野好 小区绿化高,奥园峻廷湾 -鹤山市,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,1人关注 / 4个月以前发布,77.8,"7,780元/平"
中天盈翠苑  精装3房，拎包入住  中高楼层   南北对流,中天国际盈翠苑 -北新区,3室2厅 | 105平米 | 北 | 精装 | 高楼层(共20层)  | 板楼,18人关注 / 一年前发布,108.5,"10,334元/平"
房子保养新，精致装修，采光好。,珠江帝景湾 -白沙农林,5室2厅 | 168平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,139,"8,274元/平"
摩根国际复式楼，精装修家私可附带,摩根国际 -北新区,1室1厅 | 41平米 | 西 | 精装 | 中楼层(共23层)  | 塔楼,1人关注 / 1个月以前发布,30.9,"7,537元/平"
低首付 小面积 总价小 97年 贯溪市场* 有钥匙,江杜东路23号 -杜阮,2室2厅 | 80平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,1人关注 / 3个月以前发布,26.5,"3,313元/平"
园外苑方正3房，业主诚心出售，可随时看房！！,园外苑 -鹤山市,3室1厅 | 89.62平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,32人关注 / 一年前发布,14.5,"1,618元/平"
胜利路，采光好，户型正，楼层适中，拎包入住,胜利路 -白沙农林,2室2厅 | 51.14平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 8个月以前发布,28,"5,476元/平"
胜利路 2室1厅 南,胜利路 -白沙农林,2室1厅 | 52.33平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 31天以前发布,18.6,"3,555元/平"
花园新村西区 2室2厅 东,花园新村西区 -白沙农林,2室2厅 | 72.72平米 | 东 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,19.8,"2,723元/平"
东升路，业主急售，保养新净 实用面积大,东升路7号 -鹤山市,3室1厅 | 52平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,8人关注 / 2个月以前发布,13,"2,500元/平"
东湖环境优美，交通便利，小区成熟,东城村 -白沙农林,3室2厅 | 98.68平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 10个月以前发布,27,"2,737元/平"
总价很惊喜 单价更便宜 让您拥有一个家 正规两房两厅,永华里9号 -白沙农林,2室1厅 | 54平米 | 东南 | 简装 | 高楼层(共8层)  | 塔楼,3人关注 / 3个月以前发布,13.8,"2,556元/平"
五福五街，适合就近上班人士，交通购物买菜都便利,五福五街小区 -双龙,2室2厅 | 74平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,11人关注 / 7个月以前发布,28.8,"3,892元/平"
