标题,开发商,房子信息,发布信息,售价/万,单价
房子是电梯房适合养老人居住人文素质高,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,57.5,"6,101元/平"
金秀名典电梯五楼，二室一厅中装修有家具家电，可贷款,金秀名典 -开元商圈,2室1厅 | 66.71平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,39.5,"5,922元/平"
二楼 二楼 大梁门黄汴河旁 适合养老 动中取静,黄汴河中街 -相国寺商圈,2室1厅 | 64.52平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,28.5,"4,418元/平"
鼎立A区精装两室，楼层佳，位置佳，业主诚心出售,鼎立国际城A区 -鼎立商圈,2室2厅 | 92平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,60,"6,522元/平"
适合养老，低楼层，通透户型，新装未住，配套齐全,花溪小区 -龙亭商圈,2室1厅 | 64.33平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,30,"4,664元/平"
低楼层2楼、采光充足、配套齐全、精装拎包入住,顺河回族区苹东社区 -铁塔商圈,2室1厅 | 57.11平米 | 西南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 14天以前发布,31.6,"5,534元/平"
一楼带 院，出行方便，适合养老,嘉泰北苑 -青年城商圈,2室1厅 | 65平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 9天以前发布,45.5,"7,000元/平"
文庙小区 2室1厅 南 北,文庙小区 -龙亭商圈,2室1厅 | 61.24平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,19,"3,103元/平"
房子户型赞 主卧客厅双阳台 采光好 小高层 公摊小,鼎立国际城E区 -鼎立商圈,2室2厅 | 86平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 3个月以前发布,59,"6,861元/平"
西坡街一楼带院，挨着城墙公园，生活便利,西南城坡路22号院 -相国寺商圈,2室1厅 | 54.32平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,34人关注 / 8个月以前发布,28,"5,155元/平"
房子一楼，有15平方储藏室。业主诚意售 大2房 两卫,九鼎雅园 -龙亭商圈,2室2厅 | 93.26平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,63,"6,756元/平"
金秀名典电梯三楼，中装修，二室一厅。有家具家电。,金秀名典 -开元商圈,2室1厅 | 66.71平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,8人关注 / 5个月以前发布,39,"5,847元/平"
集英街二楼，全明户型，双水双气，含储藏室一间,集英花园 -开元商圈,3室2厅 | 138.69平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,79,"5,697元/平"
公园世家电梯洋房5楼三室两厅精装修家具家电齐全可贷,公园世家A区 -东信商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 14天以前发布,69,"7,264元/平"
星光天地旁，户型方正，价格低，采光好。步梯3楼。,阳光新天地 -鼎立商圈,3室2厅 | 119.07平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 7个月以前发布,65,"5,459元/平"
三楼，中间楼层，有本，随时过户，需全款，看房电话,洪河沿街供电局家属楼 -相国寺商圈,3室1厅 | 66.06平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,0人关注 / 12天以前发布,24,"3,634元/平"
精装修拎包入住  通风效果好  视野开阔通风效果好,伟业香堤湾 -集英街商圈,4室2厅 | 129.76平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,98,"7,553元/平"
精准修舒适观景4房 契税满两年 价位美丽,湖滨花园 -集英街商圈,4室2厅 | 142.45平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,11人关注 / 一年前发布,106,"7,442元/平"
业主诚心出售 精装三室  满五唯一,新芒果蓝湾国际 -集英街商圈,3室2厅 | 91.48平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,21人关注 / 6个月以前发布,67,"7,325元/平"
冠名锦澜电梯精装修婚房装修花十几万临立洋外国语三毛,冠名锦澜 -大王屯商圈,3室2厅 | 93.6平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,64,"6,838元/平"
利居佳苑精装两室通透，格局视野宽阔，配套设施齐全,利居佳苑住宅小区 -鼎立商圈,2室2厅 | 99.46平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,60,"6,033元/平"
翠园 精装修三室边户  户型好  拎包,翠园路 -市政府商圈,3室2厅 | 87.42平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,34人关注 / 5个月以前发布,29,"3,318元/平"
步梯1楼，适合养老，通透格局，南向通阳台，新装修。,嘉泰新城 -鼎立商圈,2室2厅 | 94.43平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,59.5,"6,301元/平"
此房是毛坯洋房  户型好  采光好,枫华西湖东岸 -北站商圈,4室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,18人关注 / 一年前发布,152,"10,858元/平"
恒大东汇名城，复式，业主诚心出售,恒大东汇名城 -万达商圈,4室2厅 | 139.73平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,6人关注 / 5个月以前发布,93,"6,656元/平"
大三室 餐可分离  采光不遮挡 满二年,郑开橄榄城一期 -西湖商圈,3室2厅 | 139平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,65人关注 / 一年前发布,108,"7,770元/平"
鼎立国际城A区 4室2厅 南 北,鼎立国际城A区 -鼎立商圈,4室2厅 | 145平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,11人关注 / 3个月以前发布,81.9,"5,649元/平"
东方今典洋房，采光好，配套成熟。,东方今典 -西湖商圈,4室2厅 | 142.7平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,28人关注 / 8个月以前发布,150,"10,512元/平"
东苑小区 精装修 2室一厅 可以贷款,東苑小區 -顺河商圈,2室1厅 | 61.5平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 10天以前发布,27.5,"4,472元/平"
二楼 带有大露台 采光好 户型好,建业大宏城市花园 -鼎立商圈,2室2厅 | 73平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 12天以前发布,52,"7,124元/平"
金耀绿城低楼层精装两房 采光好 户型好,金耀绿城 -鼎立商圈,2室1厅 | 98.04平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,5人关注 / 8个月以前发布,55,"5,610元/平"
房子两个卧室朝南，客厅两个窗户，采光好,嘉泰新城 -鼎立商圈,2室1厅 | 79.23平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,13人关注 / 8个月以前发布,48,"6,059元/平"
碧丽国都一期小高层 中间楼层精装修 一室一厅单价低,碧丽国都小区一期 -开元商圈,1室1厅 | 62平米 | 东 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,35,"5,646元/平"
满五年  土地出让金已交  三楼带露台！！！,利居佳苑住宅小区 -鼎立商圈,2室2厅 | 93.79平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,55,"5,865元/平"
老河大东门  步梯二楼  户型好  光线好  有储藏室,科技印刷厂家属院 -铁塔商圈,2室1厅 | 63.36平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,26,"4,104元/平"
龙翔香格里拉，经典大两居，环境好户型通透,龙翔·香格里拉 -青年城商圈,2室2厅 | 91.55平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,57,"6,227元/平"
西苑D区，步梯二楼，三室两厅，家电齐全，含储藏室,西苑D区 -大王屯商圈,3室1厅 | 101.56平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,53.9,"5,308元/平"
"小高层,公摊少而且可随心意装修,房本在手可随时过户",幸福里 -青年城商圈,3室2厅 | 128.23平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,7人关注 / 8个月以前发布,80,"6,239元/平"
商品房，楼层好，价格低，出行方便，3室两厅两卫。,湖畔嘉苑 -CBD商圈,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,63,"5,339元/平"
伟宏天境 小高层 中间楼层 永威物业 环境优美,伟宏天境 -北站商圈,3室2厅 | 138.18平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,3人关注 / 4个月以前发布,86,"6,224元/平"
格局好，好楼层，采光充足，经典三室。,西湖印象 -橄榄城商圈,3室2厅 | 129.49平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,2人关注 / 7个月以前发布,108,"8,341元/平"
温莎二期，纯边户，中间好楼层，毛坯房，单价低,温莎尚郡 -集英街商圈,3室1厅 | 123.55平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,81.8,"6,621元/平"
海马公馆一期高品质改善洋房住宅,海马公馆 -北站商圈,3室2厅 | 160平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,167,"10,438元/平"
橄榄城二期精装两室三开间朝南 全明户型,郑开橄榄城二期 -西湖商圈,3室2厅 | 86.75平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,5人关注 / 7个月以前发布,77.5,"8,934元/平"
晖达三期3室2厅1卫好楼层采光好诚心出售,晖达新世界三期 -西湖商圈,3室2厅 | 113.25平米 | 东南 | 毛坯 | 低楼层(共27层)  | 板楼,6人关注 / 4个月以前发布,79,"6,976元/平"
电梯三室洋房，新装婚房，家具家电齐全！,香樟公馆 -橄榄城商圈,3室2厅 | 103.47平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,75.5,"7,297元/平"
毛坯房，户型方正，契税满两年，采光好,晖达新世界一期 -西湖商圈,3室2厅 | 123.22平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,108,"8,765元/平"
花园洋房 四叶草户型 环境好 新小区,开封康桥九溪郡 -开大商圈,4室2厅 | 148.88平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,114,"7,658元/平"
郑开橄榄城三期精装三室，中间楼层,郑开橄榄城三期 -西湖商圈,3室2厅 | 133.46平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,120,"8,992元/平"
急售，伟宏天境高性价，随时看房,伟宏天境 -北站商圈,3室2厅 | 135.02平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,1人关注 / 2个月以前发布,79,"5,851元/平"
橄榄城三室两卫优质房源业主急售,郑开橄榄城丹堤 -西湖商圈,3室2厅 | 126.8平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 2个月以前发布,104.5,"8,242元/平"
雅居乐，正规三居室，总价低，有钥匙,雅居乐金茂悦棠 -CBD商圈,3室2厅 | 88.73平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,66.8,"7,529元/平"
宏康家园 2010年 步梯三楼 两卧朝南 精装婚房含储藏室,宏康家園 -开元商圈,2室2厅 | 75.54平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 4个月以前发布,48,"6,355元/平"
永威物业，园林景观好，种满各种名贵绿植，得房率高,伟宏天境 -北站商圈,3室2厅 | 138.4平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,4人关注 / 6个月以前发布,84,"6,070元/平"
成熟地段，精装一天未住，家具家电齐全,新华住宅小区 -相国寺商圈,3室1厅 | 88平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,31人关注 / 4个月以前发布,39.8,"4,523元/平"
淮河医院，环城公园旁，市区位置，房东急售,淮河医院家属院 -相国寺商圈,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,29人关注 / 一年前发布,39.8,"3,317元/平"
西湖相邻一路之隔、小区环境优美，户型方正，采光充足,晖达新世界三期 -西湖商圈,3室2厅 | 109平米 | 东南 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,77,"7,065元/平"
明日新城，步梯房公摊小，一梯两户，通透性好采光佳,明日新城 -市政府商圈,3室2厅 | 122.25平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,21人关注 / 一年前发布,63,"5,154元/平"
成熟地段，精装一天未住，家具家电齐全,新华住宅小区 -相国寺商圈,3室1厅 | 88平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,31人关注 / 4个月以前发布,39.8,"4,523元/平"
户型方正 视野宽阔，采光无遮挡,晖达新世界紫檀 -西湖商圈,3室2厅 | 104平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 2个月以前发布,73,"7,020元/平"
此房位于二大街，紧挨东京大道，出行便利，高铁站近,晖达新世界紫檀 -西湖商圈,3室2厅 | 119平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,84,"7,059元/平"
老河大东门 一楼带院 有暖气 文化底蕴深,嘉和苑 -铁塔商圈,3室2厅 | 138.22平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,117,"8,465元/平"
得胜坊，步梯四楼，公摊少，采光好，南北通透。,得胜坊 -顺河商圈,3室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,31人关注 / 5个月以前发布,22.5,"3,750元/平"
碧水蓝城三期紧凑小三室 毛坯 配套齐全,碧水蓝城三期 -集英街商圈,3室2厅 | 95.91平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,70人关注 / 一年前发布,63.5,"6,621元/平"
安联优越城 一楼带院子  有一间15平方储藏室,安联优悦城 -四季城商圈,3室2厅 | 145平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,102,"7,035元/平"
小高层住宅 公摊面积小 位置好 生活便利,晖达新世界紫檀 -西湖商圈,3室1厅 | 94.72平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,75,"7,919元/平"
开元华庭步梯三楼，有地上车库需要另外计算出行方便，,开元华庭 -开元商圈,3室1厅 | 112平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,89,"7,947元/平"
康桥九溪郡  花园洋房   基础设施齐全 业主诚心出售,开封康桥九溪郡 -开大商圈,4室2厅 | 148.86平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,2人关注 / 2个月以前发布,109,"7,323元/平"
中间楼层 位置安静 税满2年 急卖 看房方便,晖达新世界三期 -西湖商圈,3室2厅 | 125.41平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,82,"6,539元/平"
精装未入住新房，好楼层，采光充足，三开间朝南，,西湖印象 -橄榄城商圈,3室2厅 | 134.99平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,5人关注 / 2个月以前发布,140,"10,372元/平"
萨拉曼卡 三室两厅一厨两卫 精装修,萨拉曼卡 -大王屯商圈,3室2厅 | 108.66平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,8人关注 / 一年前发布,64.8,"5,964元/平"
这套房子就是为了看湖定做的 把边户 采光好,郑开橄榄城三期 -西湖商圈,3室1厅 | 133.5平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,104,"7,791元/平"
开化社区，步梯，两室，南北通透，彩光好，有暖气。,开化社区 -顺河商圈,2室1厅 | 63.97平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,18,"2,814元/平"
宋门关南街  二楼 两室一厅  繁华地段,宋门关南街34号 -海洋馆商圈,2室1厅 | 46.33平米 | 南 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 17天以前发布,11,"2,375元/平"
：房子是一套经典2室，2厅边户手续齐全,金帝新生活小区 -开大商圈,2室2厅 | 92.83平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板楼,0人关注 / 18天以前发布,38,"4,094元/平"
利居佳苑 二室二厅 精装 拎包入住,利居佳苑住宅小区 -鼎立商圈,2室2厅 | 86平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,5人关注 / 22天以前发布,44,"5,117元/平"
房子临河   电梯小高层   生活便利,华盟天河湾 -龙亭商圈,2室2厅 | 87.49平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 31天以前发布,62,"7,087元/平"
西环路  一楼带院子    配套齐全生活便利,开封市劳教所家属院 -龙亭商圈,2室1厅 | 75平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,22人关注 / 7个月以前发布,38,"5,067元/平"
教育丰富，交通方便，楼下是菜市场，离景区较近,胜利街31号院 -相国寺商圈,2室1厅 | 77.41平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 2个月以前发布,33,"4,264元/平"
房子户型好，小区采用人车分流设计,枫华·金明府 -青年城商圈,3室2厅 | 94平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,5人关注 / 7个月以前发布,59,"6,277元/平"
全屋精装小两房，适合一家三口居住,帝湖世家 -集英街商圈,2室2厅 | 87.38平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,8人关注 / 8个月以前发布,70,"8,011元/平"
幸福里精装小2房，房子有车位，随时看房,幸福里 -青年城商圈,2室2厅 | 81.46平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 1个月以前发布,57,"6,998元/平"
4楼，中间好楼层，采光好，满五唯一，产权清晰，,建业大宏城市花园 -鼎立商圈,2室2厅 | 82.13平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,43,"5,236元/平"
