标题,开发商,房子信息,发布信息,售价/万,单价
阳光六层，精装两居，户型方正，价格美丽,税苑小区 -金桥商圈,2室2厅 | 114.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 10个月以前发布,85,"7,450元/平"
精装修 一楼带院 小区绿化环境好,海藤名苑昊苑 -海东路商圈,2室2厅 | 85.19平米 | 南 北 | 简装 | 低楼层(共5层)  | 塔楼,4人关注 / 3个月以前发布,93,"10,917元/平"
东岸商圈，顶跃，采光无任何遮挡，,东方维也纳 -东岸商圈,4室2厅 | 199平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,148,"7,438元/平"
南北通透国标精装三居室、近现代小区、地铁口、商场旁,嘉和国际 -锡小商圈,3室2厅 | 125.15平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,6人关注 / 一年前发布,126,"10,068元/平"
平米大，户型好，总价低，房本在手，随时看房,鼎盛国际 -南湖商圈,3室2厅 | 145平米 | 南 北 | 简装 | 低楼层(共26层)  | 暂无数据,10人关注 / 11个月以前发布,103,"7,104元/平"
采光不遮挡 诚心出售 配套成熟 离地铁站 精装修,万达广场一期 -万达商圈,3室2厅 | 129.53平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,19人关注 / 5个月以前发布,149,"11,504元/平"
2020年的新小区 房本在手 毛坯随意装修 国标三居室,大爱国际 -附属医院商圈,3室2厅 | 129.35平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,26人关注 / 10个月以前发布,111,"8,582元/平"
"万锦经典三居室 户型通透, 小区绿化好 物业服务到位.",万锦·香韵 -万锦商圈,3室1厅 | 115.62平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,211人关注 / 一年前发布,118,"10,206元/平"
志达花园国标两居精装修步梯三楼,志达花园 -金川开发区,2室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,4人关注 / 3个月以前发布,39,"3,980元/平"
长乐宫先锋路片内 中间3楼 国标户型 随时看房,金川地税局艺校家属楼 -长乐宫商圈,2室2厅 | 107平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 6个月以前发布,105,"9,814元/平"
大飞机国标三居，双阳卧带阳台，采光好前面广场,天野佳园 -金桥商圈,3室1厅 | 118.82平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,122,"10,268元/平"
金桥亿利生态城稀有阳光一楼带小院有地下室,亿利生态城 -金桥商圈,3室2厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,155,"15,980元/平"
急售 楼层好 精装修 房本在手 小区环境好,水语青城一期 -南湖商圈,2室2厅 | 100.73平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,6人关注 / 6个月以前发布,80,"7,943元/平"
电梯复式，精装修，出行方便，配套完善,MOCO国际 -金川开发区,2室1厅 | 52.3平米 | 北 | 精装 | 中楼层(共20层)  | 板楼,8人关注 / 3个月以前发布,37.8,"7,228元/平"
优质小区纯毛坯三居中间楼层采光无遮挡,弘葉佳園 -金桥商圈,3室2厅 | 123.73平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,123,"9,942元/平"
急售 大平米易改动 小区建设好 价格可议,弘葉佳園 -金桥商圈,5室2厅 | 195.08平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,28人关注 / 一年前发布,163,"8,356元/平"
金桥 中间楼层 户型好 有房本可贷款,海洋石油天野小区 -金桥商圈,2室1厅 | 72平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 11个月以前发布,65,"9,028元/平"
南北通透格局，楼层好，视野宽阔，采光充足，配套齐全,万锦融城 -万锦商圈,3室2厅 | 157平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,180,"11,465元/平"
国土明和园小区，品质小区，中间楼层，房东诚意出售,明和园 -桥华商圈,3室2厅 | 137.34平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 5个月以前发布,170,"12,379元/平"
电梯洋房  楼层好  带车位 精装修,兴泰·東河湾南区 -市政府商圈,3室2厅 | 151.02平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,241.5,"15,992元/平"
加州华府楼层好，采光足，诚心售房,泽信▪加州华府 -成吉思汗东商圈,3室2厅 | 150.02平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,10人关注 / 4个月以前发布,155,"10,332元/平"
巨华·巨海城8区 5室2厅 南 北,巨华·巨海城8区 -巨海城商圈,5室2厅 | 304.11平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,17人关注 / 10个月以前发布,315,"10,359元/平"
金桥 瓯江现代城 高楼层 简单装修 有房本,瓯江·现代城 -金桥商圈,3室2厅 | 150平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,125,"8,334元/平"
电梯小高层三居室  大落地窗  阳光充足,香榭花堤 -金桥商圈,3室2厅 | 128.11平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,9人关注 / 5个月以前发布,118,"9,211元/平"
国标飞机户型 毛坯3居 带洗衣房 全天采光,绿城润园 -桥华商圈,3室2厅 | 133平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,182,"13,685元/平"
精装婚房，国标户型，拎包入住，中间楼层,志达花园 -金川开发区,2室1厅 | 99平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,44.5,"4,495元/平"
义国宅园 2室1厅 南 北,义国宅园 -光华街商圈,2室1厅 | 105.39平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,78,"7,402元/平"
金桥品质小区弘叶家园、国标户型 一楼带小院,弘葉佳園 -金桥商圈,3室2厅 | 174平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,179,"10,288元/平"
新城区电梯好房 房本满五 费用低 可以贷款 精装修,名都·枫景 -成吉思汗东商圈,2室1厅 | 101.1平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,23人关注 / 一年前发布,99,"9,793元/平"
香榭花堤 精装修 三居 有钥匙随时看房 房本满二税费少,香榭花堤 -金桥商圈,3室2厅 | 128.59平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,19人关注 / 11个月以前发布,118,"9,177元/平"
精装修，格局方正，花园式小区，次新小区,永泰城·御景 -金桥商圈,3室2厅 | 116.06平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,145,"12,494元/平"
赛罕精装，大三居，双阳卧，绿化高，楼间距大，采光好,金叶佳苑 -金桥商圈,3室2厅 | 141平米 | 南 | 精装 | 5层  | 板楼,16人关注 / 7个月以前发布,110,"7,802元/平"
巨海城|电梯小高层|不临街不把边|全天采光|随时看房,巨华巨海城五区 -巨海城商圈,3室2厅 | 156平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,192,"12,308元/平"
敬业南校 温馨大三居 房本满五年 O首付,蒙吉利商住区 -桥华商圈,3室2厅 | 111.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,95,"8,493元/平"
桥华紫华园地段好环境好格局好有本可贷款,桥华世纪村（紫华园） -桥华商圈,2室1厅 | 92平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,95,"10,327元/平"
中间楼层，价格低，能贷款，小区内价格很低的一套。,蔚蓝家园 -成吉思汗东商圈,3室1厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板塔结合,3人关注 / 4个月以前发布,123,"9,762元/平"
国标三居 房本在手 看房方便 单价低 地铁口,五里营东小区 -金桥商圈,3室2厅 | 106.95平米 | 南 北 | 简装 | 低楼层(共28层)  | 塔楼,3人关注 / 4个月以前发布,99.8,"9,332元/平"
西万达旁，国标户型，南北通透，采光好！,大天森林花园 -西万达商圈,2室2厅 | 89.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 23天以前发布,65,"7,263元/平"
金桥  小平米南北通透  户型好  毛坯,黄金海岸西区 -金桥商圈,1室1厅 | 50平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板塔结合,8人关注 / 一年前发布,45,"9,000元/平"
大学路 一梯一户大四居 精装修 能贷款,科委（计委）楼 -大学路商圈,4室2厅 | 175.22平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 8个月以前发布,160,"9,132元/平"
房主确实挺好家具都是实木家具干净整洁领包入住,颐和家园(滨河北路) -中海商圈,2室1厅 | 93.5平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 30天以前发布,88,"9,412元/平"
陽光馨苑 2室1厅 西,陽光馨苑 -石东路商圈,2室1厅 | 60平米 | 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,56,"9,334元/平"
阿尔泰  电梯小高层  楼层好，采光刺眼。,筑福城小区 -阿尔泰商圈,2室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,27人关注 / 10个月以前发布,93,"9,490元/平"
房子看房方便，提前约随时可看，诚心出售,东达小镇 -金川开发区,3室2厅 | 121.14平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,55,"4,541元/平"
观澜国际 2室1厅 南 北,观澜国际 -南湖商圈,2室1厅 | 107.45平米 | 南 北 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,96,"8,935元/平"
盛业集团小区 3室2厅 南,盛业集团小区 -车站西街商圈,3室2厅 | 130平米 | 南 | 简装 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,105,"8,077元/平"
金桥开发区，南万达商圈，电梯中间楼层，带装修,天野佳园 -金桥商圈,3室2厅 | 132.77平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 10个月以前发布,125,"9,415元/平"
万豪美墅城 精装 南北通透 使用面积大 可贷款,万豪美墅城 -中海商圈,3室2厅 | 87.81平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,7人关注 / 8个月以前发布,132,"15,033元/平"
西菜园乡政府小区 2室1厅 南,西菜园乡政府小区 -南茶坊商圈,2室1厅 | 78.4平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,60,"7,654元/平"
万锦领秀2期 物业管理好，交通便利，国标三居,万锦领秀2期 -金桥商圈,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,167,"13,468元/平"
恒大翡翠华庭 3室2厅 南 北,恒大翡翠华庭 -海西路商圈,3室2厅 | 128.8平米 | 南 北 | 精装 | 低楼层(共21层)  | 暂无数据,1人关注 / 2个月以前发布,121,"9,395元/平"
好房出售，国标三居，运动楼层采光充足，,千家和众新家园 -金桥商圈,3室2厅 | 139.32平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,3人关注 / 3个月以前发布,105,"7,537元/平"
大平层  户型好    宽大客厅  纯毛坯房,锦秀嘉苑A区 -金桥商圈,3室2厅 | 158平米 | 北 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,46人关注 / 11个月以前发布,85,"5,380元/平"
新城家园 2室2厅 南 北,新城家园 -成吉思汗西商圈,2室2厅 | 99.9平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,70,"7,008元/平"
新城区海东路，电梯房，交通便利。。。。,呼铁佳园A区 -海东路商圈,2室1厅 | 100平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,8人关注 / 4个月以前发布,79,"7,900元/平"
水岸华庭 3室2厅 南 北,水岸华庭 -金桥商圈,3室2厅 | 135.66平米 | 南 北 | 简装 | 低楼层(共17层)  | 暂无数据,24人关注 / 5个月以前发布,105,"7,740元/平"
赛马场铁路小区 2室1厅 南 北,赛马场铁路小区 -成吉思汗西商圈,2室1厅 | 60平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,46,"7,667元/平"
万锦领秀2期 物业管理好，交通便利，国标三居,万锦领秀2期 -金桥商圈,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,167,"13,468元/平"
西菜园乡政府小区 2室1厅 南,西菜园乡政府小区 -南茶坊商圈,2室1厅 | 78.4平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,60,"7,654元/平"
房本满五唯一 双阳卧户型，采光很好，视野无遮挡,中海紫御东郡 -中海商圈,2室1厅 | 87.75平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,5人关注 / 一年前发布,109,"12,422元/平"
简单装修  一居室  孝心楼房 给父母一个独立的空间,新华联·雅园 -新华联商圈,1室1厅 | 65.14平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,5人关注 / 一年前发布,80,"12,282元/平"
阳光电梯房 精装拎包入住 看房方便 价格可议,中海紫御东郡 -中海商圈,2室1厅 | 88.15平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,27人关注 / 一年前发布,112,"12,706元/平"
西蒙集团小区 两室国标  春度公园旁,西蒙集团小区 -万达商圈,2室2厅 | 99.18平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,103,"10,386元/平"
此房2020年交房，新小区新环境，富力物业24小时保安,富力华庭 -成吉思汗西商圈,3室2厅 | 121.14平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,100,"8,255元/平"
中间楼层，采光好，出行方便，精装修，,丽苑阳光西城 -金川开发区,2室1厅 | 74平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,4人关注 / 3个月以前发布,46,"6,217元/平"
碧水蓝山 2室2厅 北 南,碧水蓝山 -金川开发区,2室2厅 | 97.8平米 | 北 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,53.5,"5,471元/平"
中海紫御东郡 四居室纯毛坯 随时看房 锡小金游城商圈,中海紫御东郡 -中海商圈,4室2厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,26人关注 / 一年前发布,158,"11,206元/平"
小区人文素质高 环境好  户型棒采光棒,秀水家园 -新华联商圈,3室2厅 | 126.66平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,34人关注 / 一年前发布,120,"9,475元/平"
嘉茂地铁口人民路东瓦窑锡林中间楼层标准户南北通有本,二毛小区 -锡小商圈,2室1厅 | 63.12平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,64,"10,140元/平"
恒昌小区 2室1厅 南 北,恒昌小区 -五塔寺商圈,2室1厅 | 68.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,62,"9,052元/平"
精装修，二居地暖，采光好，视野开阔，出行方便,咱家小区一区 -回民政府商圈,2室1厅 | 65.48平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 3个月以前发布,56,"8,553元/平"
精装一楼带地下车位，，拎包入住,东方维也纳 -东岸商圈,3室2厅 | 140.77平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,155,"11,011元/平"
东达安苑 3室2厅 南,东达安苑 -新华联商圈,3室2厅 | 155平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,140,"9,033元/平"
新华大街 地铁口 东风小 随时看房,地勘院小区 -东风路商圈,2室1厅 | 55平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,55,"10,000元/平"
赛罕政协小区 出门地铁口 东万达商圈  中间楼层可按揭,政协小区(赛罕区) -万达商圈,3室2厅 | 132.6平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,155,"11,690元/平"
永泰城御景 精装修 可按揭 万达广场,永泰城·御景 -金桥商圈,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,57人关注 / 一年前发布,136,"12,711元/平"
楼层好  交通便利  生活方便  配套成熟,电力花园一区 -嘉茂商圈,2室1厅 | 71.85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,95,"13,222元/平"
精装修电梯房   房本在手   看房方便,水榭花都 -金川开发区,2室1厅 | 86.6平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 5个月以前发布,54.5,"6,294元/平"
出售 精装修 1楼带 小院 房本在手 随时过户随时看房,半山半水 -金川开发区,2室2厅 | 84平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,3人关注 / 4个月以前发布,49.8,"5,929元/平"
嘉茂商圈 山丹小区 锡小片内 中间楼层 有房本 可按揭,山丹小区 -锡小商圈,2室1厅 | 72.77平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,75,"10,307元/平"
此房房本满五年 两居室  采光好 配套设施全 交通便利,九洲二期小区 -嘉茂商圈,2室1厅 | 81.32平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,70,"8,608元/平"
西万达广场 恒大雅苑视野宽阔，采光充足,恒大雅苑 -西万达商圈,2室1厅 | 99.02平米 | 西 北 | 精装 | 中楼层(共18层)  | 板楼,18人关注 / 11个月以前发布,70,"7,070元/平"
房东急售 东风路片内 下楼就是一号线地铁口 看房方便,维多利摩尔城 -东风路商圈,2室2厅 | 86.09平米 | 南 北 | 简装 | 中楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,97,"11,268元/平"
北二环嚓哈尔旁正规二居室 家具家电齐全业主急售,松江城水晶阁 -成吉思汗东商圈,2室1厅 | 97.84平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,12人关注 / 4个月以前发布,90,"9,199元/平"
赛罕政协小区 出门地铁口 东万达商圈  中间楼层可按揭,政协小区(赛罕区) -万达商圈,3室2厅 | 132.6平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,155,"11,690元/平"
