标题,开发商,房子信息,发布信息,售价/万,单价
13年新社区，小区管理严格，户型方正，出行便利,建华温泉公寓二区 -五一广场,3室1厅 | 105.51平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,375,"35,542元/平"
台江区好地段，电梯高层视野好，刚需三房,永昇城 -瀛洲红星,3室1厅 | 139.94平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 7个月以前发布,247,"17,651元/平"
交通便利配套成熟，业主诚意出售,金山明星 -金山大道,3室2厅 | 121.65平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,27人关注 / 7个月以前发布,279,"22,935元/平"
鼓楼区 乌山桥下 白马河公园 框架三房,斗池新村B区 -万宝商圈,3室1厅 | 92.25平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,12人关注 / 5个月以前发布,185,"20,055元/平"
福新中路03年贴砖社区，两房，南北通透，楼层好,丰泽园 -福新路,2室2厅 | 67.47平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,140,"20,750元/平"
标准2房居家装修凤仪家园电梯高层,凤仪家园 -铜盘路（软件园）,2室1厅 | 61.45平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,1人关注 / 16天以前发布,148,"24,085元/平"
鼓楼省体二环、端头户型，精装修、市直宿舍，管理好,市直湖前小区 -省体湖前,3室2厅 | 92.65平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,169,"18,241元/平"
双地铁口，社区不沿街，装修清楚，业主诚意出售，好房,世欧彼岸城A区 -榕城广场,4室2厅 | 126.93平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,398,"31,356元/平"
可看马尾全景，一览众山小。空气纯净无污染.,水岸君山 -马尾市区,2室1厅 | 65平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,92,"14,154元/平"
鳌峰苑，划：台三福八，标准三房，贴砖社区,鳌峰苑 -光明港,3室2厅 | 107.67平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,196,"18,204元/平"
东二环电梯三房 方正户型 居家装修可直接拎包入住,鹤林新城 -东二环,3室2厅 | 94.92平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,185,"19,491元/平"
新店，万科物业，拎包入住、总价低3房,万科金域榕郡 -五四北,3室2厅 | 103.72平米 | 南 | 精装 | 26层  | 板楼,15人关注 / 7个月以前发布,260,"25,068元/平"
晋安实验小旁，精装三房，南北通透双阳台，拎包入住,康城二期 -五四北,3室2厅 | 96.64平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,178,"18,419元/平"
水岸君山  下叠别墅178万 带花园双阳台,水岸君山 -马尾市区,4室2厅 | 136.82平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,190,"13,887元/平"
南北户型，楼层好，小区生活便利，出行方便,光明城小区 -瀛洲红星,3室2厅 | 107.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,179,"16,632元/平"
不沿高速 小高层 精装三房 诚意出售,泰禾红悦 -福州高新区,3室2厅 | 95.76平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,184.2,"19,236元/平"
王庄商圈紫阳地铁口，电梯中层，四房户型， 价格便yi,长福世家 -福新路,4室2厅 | 152.15平米 | 南 北 | 简装 | 低楼层(共29层)  | 板楼,1人关注 / 1个月以前发布,310,"20,375元/平"
凡尔赛宫A区，业主精装带全屋智能空调，高层在售好房,阳光凡尔赛宫A区 -光明港,3室2厅 | 94.13平米 | 东南 | 精装 | 高楼层(共38层)  | 板塔结合,0人关注 / 1个月以前发布,320,"33,996元/平"
东方名城 高层朝南三房 居家装修 业主稳定出售,东方名城香郡 -江滨东大道(快安）,3室1厅 | 96.63平米 | 东南 | 简装 | 中楼层(共17层)  | 板楼,2人关注 / 4个月以前发布,150,"15,524元/平"
融侨江南水都丽岛高层 精装  采光充足 拎包入住,融侨·江南水都丽岛 -闽江大道,4室1厅 | 110.78平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,420,"37,913元/平"
近地铁，满五唯一无欠，社区绿化好 端头户型.拎包即住,阳光理想城香草天空揽香 -上街,2室2厅 | 58.82平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,53人关注 / 一年前发布,79,"13,431元/平"
富贵天成 3室1厅 南,富贵天成 -三叉街,3室1厅 | 92平米 | 南 | 精装 | 中楼层(共8层)  | 平房,0人关注 / 1个月以前发布,200,"21,740元/平"
水岸君山有座山总高6楼洋房 前后长达10米露台 东端头,水岸君山 -马尾市区,3室2厅 | 122.8平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,139,"11,320元/平"
金山万达，万象城旁大社区端头三房,天鹅湾 -浦上大道（金山万达）,3室1厅 | 100.52平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,220,"21,887元/平"
花园社区，满两年，大阳台，公摊小,阳光理想城香草天空揽香 -上街,3室2厅 | 80.31平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,6人关注 / 4个月以前发布,115,"14,320元/平"
中亭街 苍霞新城 精装3房 好楼层 拎包,苍霞新城嘉兴苑 -上下杭城,3室2厅 | 65.22平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,163,"24,993元/平"
鼓楼 地铁口 次新房社区 杨桥新苑 证满两年 南北通透,杨桥新苑 -三坊七巷,3室2厅 | 108.34平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,2人关注 / 6个月以前发布,367,"33,875元/平"
滨江丽景美丽园，门口双地铁，纯商品房，医院公园交通,滨江丽景美丽园 -金山大道,3室2厅 | 113.62平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,25人关注 / 5个月以前发布,185,"16,283元/平"
塔头地铁口，电梯板状，全明大三房！,永兴洋房 -塔头,3室2厅 | 104.43平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,288,"27,579元/平"
世纪金辉 2期  电梯高层 端头 全明户型 视野好,世纪金辉 -鼓山新东区,3室2厅 | 97.93平米 | 北 东 南 | 简装 | 高楼层(共9层)  | 板楼,4人关注 / 5个月以前发布,209,"21,342元/平"
西湖接鼓一，南北通透三房，拎包就能住的！,肃威花园 -东街口,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 3个月以前发布,259,"28,778元/平"
北江滨电梯精装3房，达道地铁口满可无抵押,安平小区 -中亭街（元洪城）,3室1厅 | 87平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,1人关注 / 3个月以前发布,189,"21,725元/平"
二号线紫阳站 2008年电梯三房，西南向 三阳台格局好,龙庭居 -王庄,3室2厅 | 104.86平米 | 西南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,228,"21,744元/平"
电梯房，南北通透，居家装修，新嘉小区，诚意出售,新嘉小区 -五四北,3室2厅 | 121.31平米 | 北 南 | 简装 | 中楼层(共9层)  | 板塔结合,1人关注 / 1个月以前发布,154,"12,695元/平"
东二环景湖佳园，90平方端头，高楼层视野好，全明采光,景湖佳园 -东二环,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 10天以前发布,200,"22,223元/平"
左海西湖边！湖滨 十八！南北通透，一梯2户，采光好1,光荣路60号 -左海西湖,2室1厅 | 55.74平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 7个月以前发布,179,"32,114元/平"
房东诚意出售，配套成熟。标准3房看房方便,福升楼 -马尾市区,3室2厅 | 124.35平米 | 东南 | 简装 | 中楼层(共9层)  | 暂无数据,5人关注 / 一年前发布,99,"7,962元/平"
一手业主，地段好，出行方便，不沿街.电梯3房,恒力博纳广场 -省体湖前,3室2厅 | 93.74平米 | 西南 | 精装 | 低楼层(共42层)  | 板楼,0人关注 / 1个月以前发布,248,"26,457元/平"
淮安半岛金辉泊宫双平层结构 实际使用面积大 毛坯四房,金辉淮安半岛二期 -福建农林大,4室2厅 | 103.78平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,20人关注 / 一年前发布,215,"20,717元/平"
新社区 名城紫金轩 精装房，户型方正，满二，诚意出售,名城紫金轩 -江滨东大道(快安）,3室2厅 | 84.16平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,183,"21,745元/平"
左海边三房两厅两卫三阳台，楼层户型好,海景花园 -铜盘路（软件园）,3室2厅 | 98.25平米 | 南 西 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,255,"25,955元/平"
急售！华润万象城旁，2015年庭院社区，居家3房！,融信澜郡B区 -西江滨,3室2厅 | 120.69平米 | 东南 | 精装 | 中楼层(共38层)  | 板楼,6人关注 / 3个月以前发布,598,"49,549元/平"
闽候荆溪 安置房小区 九凤花园 居家四房 拎包入住,九凤花园 -荆溪,4室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,2人关注 / 2个月以前发布,78,"6,500元/平"
名郡 新出109㎡端头户型 精装修看房方便 刚需拎包入住,名郡 -江滨东大道(快安）,3室2厅 | 109.22平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,150,"13,734元/平"
五凤巴黎之春，电梯四房，改善好选择,巴黎之春 -铜盘路（软件园）,4室2厅 | 139.2平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 7个月以前发布,395,"28,377元/平"
五四北泰禾旁 三盛国际 新嘉小区 标准两房，户型方正,新嘉小区 -五四北,2室2厅 | 73.33平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,28人关注 / 一年前发布,90,"12,274元/平"
文化宫 万宝商圈 南禅新村 刚需两房 总价低  看房方便,南禅新村 -上下杭城,2室1厅 | 69.2平米 | 西南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,112,"16,185元/平"
高新区双地铁口，低总价！出行方便！,高新苑 -福州高新区,2室2厅 | 61.28平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,78,"12,729元/平"
阳光理想城揽香社区 满二 小户型两房 得房率高,阳光理想城香草天空揽香 -上街,2室1厅 | 59.04平米 | 南 北 | 精装 | 高楼层(共22层)  | 板塔结合,3人关注 / 3个月以前发布,78,"13,212元/平"
出门就是花海公园、麻雀虽小、五脏俱全、精装单身公寓,闽江世纪城A区 -南江滨,2室1厅 | 53.7平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 3个月以前发布,113,"21,043元/平"
房产证满五，房东痛心价格卖房，距离市区近,博仕后家园B区 -上街,1室1厅 | 35.73平米 | 北 | 简装 | 低楼层(共28层)  | 塔楼,2人关注 / 2个月以前发布,48.5,"13,575元/平"
东方名城旁 总价48万买两房，单价8500元 。,凯隆橙仕公馆 -江滨东大道(快安）,2室1厅 | 56.92平米 | 东 北 | 简装 | 低楼层(共32层)  | 板塔结合,11人关注 / 3个月以前发布,48,"8,433元/平"
适合办公，精装文艺范，省心省事，家具齐全,招商雍景湾 -江滨东大道(快安）,3室1厅 | 58平米 | 东南 | 精装 | 中楼层(共13层)  | 暂无数据,0人关注 / 3个月以前发布,57,"9,828元/平"
贵荣苑 此房满二年，业主自己 用心装修，北欧,贵安新天地贵荣苑 -贵安,2室2厅 | 85.04平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 4个月以前发布,60,"7,056元/平"
首付炒底，清新居家拎包入住，先到先得,贵安新天地贵府苑 -贵安,1室1厅 | 50.61平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,32,"6,323元/平"
小区好社区，配套齐全，闹中取静，安家好房。,阳光城假日公寓 -五一广场,1室1厅 | 54平米 | 西 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,170,"31,482元/平"
三盛托斯卡纳二期 精装 未入住 5米层高 通透,三盛托斯卡纳二期 -福州高新区,2室1厅 | 39.16平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,25人关注 / 6个月以前发布,65,"16,599元/平"
新出 茶会小区 全新精装 中间楼层 门口就是晋安湖,茶会社区 -福马路,2室1厅 | 59.73平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,118,"19,756元/平"
泰禾名城，高层视野开阔，端头户型光线好，无楼间距,泰禾名城 -首营新区,2室2厅 | 75.23平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,130,"17,281元/平"
滨江丽景临江园，门口双地铁，纯商品房，双平层复式！,滨江丽景临江园 -金山大道,5室3厅 | 214.48平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,268,"12,496元/平"
仙塔街 东泰路 津泰路 五一北路 中庚财富天下,中庚财富天下 -东街口,1室1厅 | 42.32平米 | 北 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 1个月以前发布,134,"31,664元/平"
一梯两户，南北通透，距离地铁近！,天马新村 -上下杭城,2室1厅 | 52.82平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,123,"23,287元/平"
钱塘，屏东，标准两房房，居家装修，南北，停车方便,福飞路省经贸委宿舍 -左海西湖,2室2厅 | 65.1平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,282,"43,318元/平"
三房好房 楼层好 视野好 满二,融侨宜家二期 -南屿,3室2厅 | 84.08平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 9天以前发布,120,"14,273元/平"
湖滨新城北苑，十八，西湖左海，双安城旁，西二环边,湖滨新城北院 -左海西湖,2室1厅 | 61.4平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 8天以前发布,205,"33,388元/平"
满五唯一税费低，南北通透楼层好，视野开阔，一线看湖,万科又一城 -闽侯大学城,3室2厅 | 96.6平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,219,"22,671元/平"
鼓楼江厝路低总价复式三房出售228万,鑫泉新苑A区 -铜盘路（软件园）,3室2厅 | 101.55平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,217,"21,369元/平"
中天金海岸，欧式装修，做4个卧室，大客厅，一线看江,中天金海岸金爵苑 -金山公园,4室2厅 | 163.46平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,425,"26,001元/平"
群升江山城   精装三房两卫加车位  房东诚意出售！,群升江山城 -福州高新区,3室1厅 | 115平米 | 东南 | 精装 | 中楼层(共39层)  | 板楼,0人关注 / 2个月以前发布,225,"19,566元/平"
此房诚意出售.置换大套房.端头户型.随时看房.,塞纳阳光 -省体湖前,2室1厅 | 47.51平米 | 东 南 北 | 简装 | 低楼层(共11层)  | 板楼,10人关注 / 5个月以前发布,128,"26,942元/平"
茶亭地铁，电梯房，楼层好，户型方正，视野好,金钻世家 -茶亭,4室2厅 | 156平米 | 西南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 5个月以前发布,399,"25,577元/平"
高新区万达旁，产权满二无欠款的房子，业主诚意出售,融侨宜家一期 -南屿,3室2厅 | 78.69平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 11个月以前发布,106,"13,471元/平"
湖滨十八中总价低，L大阳台小朋友可以滑轮、看房方便,煤矿养老院宿舍 -西江滨,3室2厅 | 112.82平米 | 东南 北 | 精装 | 高楼层(共6层)  | 暂无数据,12人关注 / 6个月以前发布,222,"19,678元/平"
品质社区，人车分离，全景别墅，户型方正,融信大卫城B区 -金山公园,2室2厅 | 94.08平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,231.5,"24,607元/平"
标准大3房2卫，居家装修，不沿街，金山站双地铁口！,采菊苑 -榕城广场,3室2厅 | 130.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,7人关注 / 5个月以前发布,335,"25,614元/平"
新出，万科品质社区，二期精装修，高层，视野无遮挡，,万科金域榕郡 -五四北,3室2厅 | 124.71平米 | 南 东南 | 精装 | 39层  | 板楼,7人关注 / 5个月以前发布,345,"27,665元/平"
电梯大三房，一梯两户，居家装修，宜居,世纪城 -塔头,3室2厅 | 120.12平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,9人关注 / 11个月以前发布,321,"26,724元/平"
融侨社区品质，福耀大学旁，标准三房两卫，拎包入住,融侨宜家一期 -南屿,3室2厅 | 85.86平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 6个月以前发布,123,"14,326元/平"
地铁5号线 仓山万达广场 精装3房,金山桔园和园 -浦上大道（金山万达）,3室2厅 | 92.54平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,193,"20,856元/平"
